2577,3088,3634,4449,5199,6886,7793,8157,9748,10589,11640,13388,14783,16781,19038,21535,23397,26214,28393,31798,34271,38061,40805,45116,48240,53057,57147,62104,67017,72794,77699,83864,89907,96336,102733,109970,117162,124592,132362,140803,149568,158839,168289,178243,188391,198849,210334,221531,233271,245763,258652,272357,286459,300160,315695,330616,347753,363477,381070,398647,416023,435034,454705,474616,496099,516639,539245,560907,584930,609025,638396,671499,704652,738747,769463,797346,826379,856507,888213,917895,955132,
13,8,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,4,4,5,4,4,4,4,4,5,5,4,4,5,4,4,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,3,4,4,5,5,4,4,4,
4,4,5,5,5,5,5,5,4,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,6,5,4,4,5,4,4,4,4,5,4,5,4,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,4,5,4,5,4,4,4,5,4,5,4,4,5,4,4,5,4,4,4,5,4,
4,4,4,4,4,4,5,4,4,4,4,5,4,4,3,4,4,4,5,4,5,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,
