1182449,1113581,1183552,1272723,1357169,1447624,1547831,1647731,1753491,1875799,1995626,2096190,2218369,2350820,2482145,2622959,2769996,2919093,3085541,3253611,3413446,3587541,3778212,3963054,4150773,4358101,4569346,4776615,5011657,5224593,5455122,5713385,5948103,6220875,6489918,6755858,7028850,7332083,7623916,7929941,8250724,8558483,8928200,9247315,9613717,9991472,10332608,10694384,11107852,11491861
286341,306906,327780,350868,375344,401985,427963,455397,483245,514542,545366,578108,612478,648291,684238,724061,763849,805321,849173,893255,938562,987622,1036084,1087505,1138861,1196030,1252183,1313321,1371761,1434343,1498941,1565300,1632073,1704569,1777409,1849594,1928522,2008671,2088513,2173077,2258849,2345481,2437563,2535202,2625707,2729109,2825878,2931203,3033037,3184915
215533,231892,246402,263139,282218,301987,322523,342888,364699,388603,414837,437922,462414,490705,518116,547912,579074,612601,695641,676148,715027,746624,783265,823222,861108,912632,953321,994499,1039247,1089931,1138912,1189766,1236154,1297906,1352880,1403321,1465759,1524514,1584387,1652855,1712641,1787744,1902738,1931298,1996940,2075979,2147538,2232019,2307190,2400691
186627,202499,213013,226225,242772,261764,279767,297295,317769,337865,358061,378219,402383,430940,448298,477398,503269,589243,553968,585315,615162,644928,675220,708266,738597,786595,822198,861744,894765,943334,985902,1030220,1066445,1124095,1169037,1207361,1271703,1317147,1365291,1431689,1482491,1547225,1596921,1673562,1726469,1801599,1882288,1939298,1989057,2087411
